ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected
1762166201.548130,CHJkGJ2Uk1F7ESjusl,fd50:75fd:c988:0:50be:4ba3:982:3b13,59648,fd50:75fd:c988::1,53,udp,61541,0.000922,docs.google.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,74.125.131.194,36.000000,F
1762166201.548130,CJp6FG1s6BuOjC9ebk,fd50:75fd:c988:0:50be:4ba3:982:3b13,56729,fd50:75fd:c988::1,53,udp,33883,0.000922,docs.google.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,74.125.131.194,36.000000,F
1762166201.291234,C66S8y2Qpa8LUcNwhj,fd50:75fd:c988:0:50be:4ba3:982:3b13,57196,fd50:75fd:c988::1,53,udp,29418,-,ssl.gstatic.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166224.040923,CtwEzK1WQoH4wXUVj4,fd50:75fd:c988:0:50be:4ba3:982:3b13,60157,fd50:75fd:c988::1,53,udp,26959,-,v10.events.data.microsoft.com,1,C_INTERNET,28,AAAA,0,NOERROR,F,F,T,F,0,-,-,T
1762166224.258600,CJbmkdhbUMXwfUBHj,192.168.7.101,60051,192.168.7.1,53,udp,31908,0.260409,v10.events.data.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,20.50.80.209,8.000000,F
1762166224.040651,C82rQ91CrNwgWxXWug,fd50:75fd:c988:0:50be:4ba3:982:3b13,60051,fd50:75fd:c988::1,53,udp,31908,0.478709,v10.events.data.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,20.50.80.209,8.000000,F
1762166233.132752,CMubAm3L6eDFOW0F09,fd50:75fd:c988:0:50be:4ba3:982:3b13,53999,fd50:75fd:c988::1,53,udp,32328,0.063576,chat.deepseek.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"104.18.27.90,104.18.26.90","275.000000,275.000000",F
1762166233.510027,CdFStP3JhluApSJvD2,fd50:75fd:c988:0:50be:4ba3:982:3b13,65305,fd50:75fd:c988::1,53,udp,26575,0.102671,static.deepseek.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"87.119.18.27,87.119.18.28,66.253.35.151,66.253.35.152","13.000000,13.000000,13.000000,13.000000",F
1762166234.843984,CkeKh41SyBLL9L8M7b,fd50:75fd:c988:0:50be:4ba3:982:3b13,62062,fd50:75fd:c988::1,53,udp,52105,0.169151,apmplus.volces.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"47.246.2.226,47.246.2.232,47.246.2.229,47.246.2.228,47.246.2.230,47.246.2.227,47.246.2.225,47.246.2.231","5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000",F
1762166239.204570,COZP3o4JHXa8i2irf,fd50:75fd:c988:0:50be:4ba3:982:3b13,49229,fd50:75fd:c988::1,53,udp,22629,0.050614,waa-pa.clients6.google.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,64.233.164.95,47.000000,F
1762166239.796601,C61Tts3nUcXYJSKGH9,fd50:75fd:c988:0:50be:4ba3:982:3b13,60157,fd50:75fd:c988::1,53,udp,8148,0.090695,p2p-sto2.discovery.steamserver.net,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"155.133.252.39,155.133.252.40,155.133.252.54","15.000000,15.000000,15.000000",F
1762166233.132751,C3F3qe3GXmbo2xNe06,fd50:75fd:c988:0:50be:4ba3:982:3b13,59319,fd50:75fd:c988::1,53,udp,51704,-,chat.deepseek.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166233.510027,CkRVMERb9wIUnd57c,fd50:75fd:c988:0:50be:4ba3:982:3b13,52099,fd50:75fd:c988::1,53,udp,62966,-,static.deepseek.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166234.843984,CgeZWW1EusXKj3GG4l,fd50:75fd:c988:0:50be:4ba3:982:3b13,58070,fd50:75fd:c988::1,53,udp,6691,-,apmplus.volces.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166239.204570,CKgsZf2WkPPn86RACc,fd50:75fd:c988:0:50be:4ba3:982:3b13,50378,fd50:75fd:c988::1,53,udp,22586,-,waa-pa.clients6.google.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166254.921578,Ccw1mX1pgs3hOdbcCi,fd50:75fd:c988:0:50be:4ba3:982:3b13,63157,fd50:75fd:c988::1,53,udp,6118,0.596234,functional.events.data.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,52.182.143.210,9.000000,F
1762166264.053940,CaMPN12JtfDnuW8bnf,fd50:75fd:c988:0:50be:4ba3:982:3b13,53305,fd50:75fd:c988::1,53,udp,33750,-,signals.urs.microsoft.com,1,C_INTERNET,28,AAAA,0,NOERROR,F,F,T,F,0,-,-,T
1762166264.466270,Cop0Ej3aVgRIp8Smf8,192.168.7.101,5353,224.0.0.251,5353,udp,0,-,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,0.000000,F
1762166264.466270,CEEni83si2meHzo88l,fe80::2a04:c1b5:deea:42de,5353,ff02::fb,5353,udp,0,-,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,0.000000,F
1762166264.466270,Czs8w31PKJW8aUuJZ2,192.168.7.101,60157,192.168.7.1,53,udp,63910,0.171704,signals.urs.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,48.209.180.244,5.000000,F
1762166264.053939,CihYxc4yPjdpDTmy17,fd50:75fd:c988:0:50be:4ba3:982:3b13,60157,fd50:75fd:c988::1,53,udp,63910,0.584035,signals.urs.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,48.209.180.244,5.000000,F
1762166254.920907,CYeN5r4rTRGmoCcVi3,fd50:75fd:c988:0:50be:4ba3:982:3b13,62215,fd50:75fd:c988::1,53,udp,39370,-,functional.events.data.microsoft.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166264.942325,CZfksb3BANHwUTRUf7,192.168.7.205,47758,192.168.7.1,53,udp,29863,-,_http._tcp.ru.archive.ubuntu.com,1,C_INTERNET,33,SRV,3,NXDOMAIN,F,F,T,F,0,-,-,F
1762166264.977097,CBCnHl1OC6HElChPG6,192.168.7.205,43647,192.168.7.1,53,udp,12637,0.038381,ru.archive.ubuntu.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,2a02:6b8::183,300.000000,F
1762166264.976726,C4Tay52TWK15mWXs8,192.168.7.205,33608,192.168.7.1,53,udp,53578,0.059208,ru.archive.ubuntu.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,213.180.204.183,300.000000,F
1762166264.600250,Cop0Ej3aVgRIp8Smf8,192.168.7.101,5353,224.0.0.251,5353,udp,0,0.503772,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,4500.000000,F
1762166264.600696,CEEni83si2meHzo88l,fe80::2a04:c1b5:deea:42de,5353,ff02::fb,5353,udp,0,0.504048,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,4500.000000,F
1762166264.852013,Cop0Ej3aVgRIp8Smf8,192.168.7.101,5353,224.0.0.251,5353,udp,0,0.253299,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty.local,120.000000,F
1762166264.852375,CEEni83si2meHzo88l,fe80::2a04:c1b5:deea:42de,5353,ff02::fb,5353,udp,0,0.253728,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty.local,120.000000,F
1762166276.183205,C5woAS2sY0nqLo7tM,fd50:75fd:c988:0:50be:4ba3:982:3b13,53365,fd50:75fd:c988::1,53,udp,40078,0.078778,sponsor.ajay.app,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"104.21.44.169,172.67.201.151","187.000000,187.000000",F
1762166276.120984,CV2iOi4sMCmvJKd08,fd50:75fd:c988:0:50be:4ba3:982:3b13,59076,fd50:75fd:c988::1,53,udp,18329,0.602630,i.ytimg.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"216.58.206.86,142.250.185.246,142.250.186.182,142.250.185.86,172.217.18.22,142.250.185.118,142.250.185.182,142.250.184.214,216.58.212.150,142.250.185.214,142.250.185.150,142.250.186.150,142.250.184.246,172.217.23.118,142.251.140.182,216.58.206.54","269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000,269.000000",F
1762166276.122869,CzupIn1k3gIsfUO178,fd50:75fd:c988:0:50be:4ba3:982:3b13,59508,fd50:75fd:c988::1,53,udp,13658,0.603287,i1.ytimg.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,142.250.184.238,223.000000,F
1762166276.121381,CQAf1c14p1UwxTTdol,fd50:75fd:c988:0:50be:4ba3:982:3b13,53789,fd50:75fd:c988::1,53,udp,7400,0.624329,yt3.ggpht.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"142.250.185.65,142.250.186.65,172.217.18.1,142.250.184.225,142.250.186.161,142.251.140.161,142.250.185.129,142.250.186.97,216.58.212.129,142.250.184.193,142.250.186.129,142.250.185.97,142.250.181.225,216.58.206.65,216.58.206.33,142.250.186.33","109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000",F
1762166285.655535,CcV7O1oKOCiDY3TG1,192.168.7.205,33795,192.168.7.1,53,udp,25164,0.135890,google.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"64.233.162.102,64.233.162.138,64.233.162.101,64.233.162.113,64.233.162.100,64.233.162.139","227.000000,227.000000,227.000000,227.000000,227.000000,227.000000",F
1762166285.655871,C5Jn4b4ErwQKM1Fb5c,192.168.7.205,34101,192.168.7.1,53,udp,23597,0.161264,google.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2a00:1450:4010:c03::66,2a00:1450:4010:c03::8b,2a00:1450:4010:c03::65,2a00:1450:4010:c03::8a","77.000000,77.000000,77.000000,77.000000",F
1762166285.956201,CXOCPf1HnmN3iup7va,192.168.7.205,39406,192.168.7.1,53,udp,61932,0.135258,www.google.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"74.125.131.106,74.125.131.105,74.125.131.103,74.125.131.104,74.125.131.147,74.125.131.99","283.000000,283.000000,283.000000,283.000000,283.000000,283.000000",F
1762166285.956559,CMBnbt2mkytOvOgnHb,192.168.7.205,33806,192.168.7.1,53,udp,35190,0.160900,www.google.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2a00:1450:4010:c0e::67,2a00:1450:4010:c0e::69,2a00:1450:4010:c0e::6a,2a00:1450:4010:c0e::93","19.000000,19.000000,19.000000,19.000000",F
1762166276.120984,CpVctD3eVkLntzMMSj,fd50:75fd:c988:0:50be:4ba3:982:3b13,63604,fd50:75fd:c988::1,53,udp,12980,-,i.ytimg.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166276.121381,CJGEY83GRUrqyYxzF4,fd50:75fd:c988:0:50be:4ba3:982:3b13,61627,fd50:75fd:c988::1,53,udp,60172,-,yt3.ggpht.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166276.122869,Cqe2gZ1wi0fbjkHrU8,fd50:75fd:c988:0:50be:4ba3:982:3b13,58813,fd50:75fd:c988::1,53,udp,51691,-,i1.ytimg.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166276.183205,CL1dIxEYENp9jLtO3,fd50:75fd:c988:0:50be:4ba3:982:3b13,51351,fd50:75fd:c988::1,53,udp,38187,-,sponsor.ajay.app,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166299.873212,CvCEbm4sYFKgHqTYUf,fd50:75fd:c988:0:50be:4ba3:982:3b13,53305,fd50:75fd:c988::1,53,udp,38092,0.089300,p2p-sto2.discovery.steamserver.net,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"155.133.252.40,155.133.252.39,155.133.252.54","58.000000,58.000000,58.000000",F
1762166305.224352,CmhnbG35m0atasfcma,192.168.7.205,39795,192.168.7.1,53,udp,33621,0.155951,speed.hetzner.de,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,88.198.248.254,300.000000,F
1762166305.224984,CuxZiD4VkMXcdwWAth,192.168.7.205,47509,192.168.7.1,53,udp,8372,0.441515,speed.hetzner.de,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,2a01:4f8:0:59ed::2,300.000000,F
1762166321.556914,CxBSvs4BMFIiyCQAc3,fd50:75fd:c988:0:50be:4ba3:982:3b13,53305,fd50:75fd:c988::1,53,udp,22854,0.308176,catalog.gamepass.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"23.73.2.151,23.73.2.135","14.000000,14.000000",F
1762166321.773800,Cyma6K3qsOrxdrwXl2,192.168.7.101,53305,192.168.7.1,53,udp,22854,0.091290,catalog.gamepass.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"23.73.2.151,23.73.2.135","14.000000,14.000000",F
1762166321.775426,CorWLp2cM6SWajweYc,192.168.7.101,57571,192.168.7.1,53,udp,33054,0.107177,catalog.gamepass.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2a02:26f0:dc::6853:598,2a02:26f0:dc::6853:599","5.000000,5.000000",F
1762166321.556915,CIoKv32JfQKflutBy5,fd50:75fd:c988:0:50be:4ba3:982:3b13,57571,fd50:75fd:c988::1,53,udp,33054,0.325688,catalog.gamepass.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2a02:26f0:dc::6853:598,2a02:26f0:dc::6853:599","5.000000,5.000000",F
1762166330.465046,CHyfSd3enbP97nNfT8,fd50:75fd:c988:0:50be:4ba3:982:3b13,63788,fd50:75fd:c988::1,53,udp,23122,0.597977,edge.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"150.171.27.11,150.171.28.11","43.000000,43.000000",F
1762166335.867081,Cj1tYt4Sayito1ZvN,fd50:75fd:c988:0:50be:4ba3:982:3b13,52711,fd50:75fd:c988::1,53,udp,515,-,ecs.office.com,1,C_INTERNET,28,AAAA,0,NOERROR,F,F,T,F,0,-,-,T
1762166335.866416,CqUCfd4K1Y3kl95PRf,fd50:75fd:c988:0:50be:4ba3:982:3b13,59947,fd50:75fd:c988::1,53,udp,19840,0.610537,ecs.office.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"52.123.129.14,52.123.128.14","22.000000,22.000000",F
1762166336.084675,CcJjKd1fqm0NOnInlf,192.168.7.101,59947,192.168.7.1,53,udp,19840,0.392278,ecs.office.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"52.123.129.14,52.123.128.14","22.000000,22.000000",F
1762166338.666117,CxuykrQBmnoI4Wqp9,fd50:75fd:c988:0:50be:4ba3:982:3b13,58498,fd50:75fd:c988::1,53,udp,8712,0.598796,functional.events.data.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,20.189.173.13,9.000000,F
1762166330.465046,CIhIkx2LqE9u5YgFF7,fd50:75fd:c988:0:50be:4ba3:982:3b13,65128,fd50:75fd:c988::1,53,udp,29314,-,edge.microsoft.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166342.965468,CrcD5m3lONHniCxhni,192.168.7.205,33371,192.168.7.1,53,udp,25437,0.475852,ipv4.download.thinkbroadband.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,80.249.99.148,300.000000,F
1762166342.965854,CkWZqg2D751JSsKcE,192.168.7.205,51670,192.168.7.1,53,udp,10055,-,ipv4.download.thinkbroadband.com,1,C_INTERNET,28,AAAA,0,NOERROR,F,F,T,F,0,-,-,T
1762166338.666117,CoRBEzgmbJd4eqcog,fd50:75fd:c988:0:50be:4ba3:982:3b13,62846,fd50:75fd:c988::1,53,udp,43188,-,functional.events.data.microsoft.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166359.950103,ChKb0N05CNFSTz4y3,fd50:75fd:c988:0:50be:4ba3:982:3b13,52711,fd50:75fd:c988::1,53,udp,54784,0.334477,p2p-sto2.discovery.steamserver.net,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"155.133.252.40,155.133.252.39,155.133.252.54","9.000000,9.000000,9.000000",F
1762166360.168126,C5QvyA16OEBxdlyKo3,192.168.7.101,52711,192.168.7.1,53,udp,54784,0.116455,p2p-sto2.discovery.steamserver.net,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"155.133.252.40,155.133.252.39,155.133.252.54","9.000000,9.000000,9.000000",F
1762166363.875579,CjpPhx3lTuZQvQiAY3,fd50:75fd:c988:0:50be:4ba3:982:3b13,64683,fd50:75fd:c988::1,53,udp,62740,0.611847,s.deepl.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,194.124.204.71,24.000000,F
1762166371.294211,CP81hT2ZxRw1TmEpZe,192.168.7.205,60713,192.168.7.1,53,udp,31044,0.105339,connectivity-check.ubuntu.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2620:2d:4000:1::22,2620:2d:4000:1::97,2001:67c:1562::24,2620:2d:4002:1::196,2620:2d:4000:1::2a,2620:2d:4000:1::98,2620:2d:4002:1::198,2001:67c:1562::23,2620:2d:4000:1::23,2620:2d:4002:1::197,2620:2d:4000:1::96,2620:2d:4000:1::2b","55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000",F
1762166363.875153,CxXYGw3EqgNhHjlkcg,fd50:75fd:c988:0:50be:4ba3:982:3b13,58832,fd50:75fd:c988::1,53,udp,64124,-,s.deepl.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166378.568607,CJ72413Wlg1K49ELVj,fd50:75fd:c988:0:50be:4ba3:982:3b13,63850,fd50:75fd:c988::1,53,udp,61378,0.604383,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,95.168.222.205,300.000000,F
1762166385.108614,C5K9e917gWeEc9Dpob,192.168.7.101,5353,224.0.0.251,5353,udp,0,-,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,0.000000,F
1762166385.109156,Cudml51TdFpFKiQbTi,fe80::2a04:c1b5:deea:42de,5353,ff02::fb,5353,udp,0,-,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,0.000000,F
1762166385.360660,C5K9e917gWeEc9Dpob,192.168.7.101,5353,224.0.0.251,5353,udp,0,0.503727,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,4500.000000,F
1762166385.361173,Cudml51TdFpFKiQbTi,fe80::2a04:c1b5:deea:42de,5353,ff02::fb,5353,udp,0,0.503784,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty._dosvc._tcp.local,4500.000000,F
1762166385.612505,C5K9e917gWeEc9Dpob,192.168.7.101,5353,224.0.0.251,5353,udp,0,0.252452,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty.local,120.000000,F
1762166385.612762,Cudml51TdFpFKiQbTi,fe80::2a04:c1b5:deea:42de,5353,ff02::fb,5353,udp,0,0.252701,kwerty._dosvc._tcp.local,1,C_INTERNET,255,*,0,NOERROR,T,F,F,F,0,kwerty.local,120.000000,F
1762166387.231468,COmZpw0ZyzKraavqc,fd50:75fd:c988:0:50be:4ba3:982:3b13,49850,fd50:75fd:c988::1,53,udp,43492,0.602643,rr1---sn-25ge7nzr.googlevideo.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,173.194.3.38,300.000000,F
1762166378.568606,CWoGNr1NF0J4SX7IHa,fd50:75fd:c988:0:50be:4ba3:982:3b13,63190,fd50:75fd:c988::1,53,udp,22499,-,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166388.633835,CXkTkV2J4IXC6CmRxj,192.168.7.205,44452,192.168.7.1,53,udp,48722,0.136887,releases.ubuntu.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"91.189.91.107,91.189.91.109,91.189.91.108,185.125.190.40,185.125.190.37","55.000000,55.000000,55.000000,55.000000,55.000000",F
1762166388.634108,COcV4O2gPaoQkQnI1h,192.168.7.205,51602,192.168.7.1,53,udp,2342,1.305834,releases.ubuntu.com,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2620:2d:4002:1::107,2620:2d:4000:1::17,2620:2d:4002:1::108,2620:2d:4002:1::109,2620:2d:4000:1::1a","60.000000,60.000000,60.000000,60.000000,60.000000",F
1762166390.032699,CZV1pn4Gl6HNvqAewb,fd50:75fd:c988:0:50be:4ba3:982:3b13,61821,fd50:75fd:c988::1,53,udp,7603,0.596875,rr2---sn-25glenlz.googlevideo.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,74.125.105.199,40.000000,F
1762166387.231468,CtM64K2vuOFVHlX6C2,fd50:75fd:c988:0:50be:4ba3:982:3b13,57300,fd50:75fd:c988::1,53,udp,21106,-,rr1---sn-25ge7nzr.googlevideo.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166390.032665,CTkMMp4O2A8acy0kh3,fd50:75fd:c988:0:50be:4ba3:982:3b13,59119,fd50:75fd:c988::1,53,udp,31415,-,rr2---sn-25glenlz.googlevideo.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166412.924765,CRW9Q11hMPv0jKTYV6,fd50:75fd:c988:0:50be:4ba3:982:3b13,54490,fd50:75fd:c988::1,53,udp,23216,-,wpad.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T
1762166412.675933,CubYOT3kxXuWgNg0fe,fd50:75fd:c988:0:50be:4ba3:982:3b13,56277,fd50:75fd:c988::1,53,udp,2906,0.274127,update.ayugram.one,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2606:4700:3032::6815:339c,2606:4700:3037::ac43:b619","285.000000,285.000000",F
1762166412.893661,Cb2qihGh5YYsbhBnl,192.168.7.101,56277,192.168.7.1,53,udp,2906,0.056399,update.ayugram.one,1,C_INTERNET,28,AAAA,0,NOERROR,T,F,T,T,0,"2606:4700:3032::6815:339c,2606:4700:3037::ac43:b619","285.000000,285.000000",F
1762166412.675933,CEpLHc1nbJ5Ell1jji,fd50:75fd:c988:0:50be:4ba3:982:3b13,63842,fd50:75fd:c988::1,53,udp,20276,0.323566,update.ayugram.one,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"104.21.51.156,172.67.182.25","245.000000,245.000000",F
1762166412.893661,CRMqtb1P3YBGHSaLC2,192.168.7.101,63842,192.168.7.1,53,udp,20276,0.105838,update.ayugram.one,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"104.21.51.156,172.67.182.25","245.000000,245.000000",F
1762166412.921529,CRo2Zi1L4zdwtvWBU8,fd50:75fd:c988:0:50be:4ba3:982:3b13,65197,fd50:75fd:c988::1,53,udp,59451,0.122422,config.edge.skype.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,150.171.22.17,19.000000,F
